
Epoch: 0 | MSE Train Loss: 1.0088348388671875 | MSE Test Loss: 1.706184983253479
Epoch: 10 | MSE Train Loss: 0.5722177624702454 | MSE Test Loss: 0.5511158108711243
Epoch: 20 | MSE Train Loss: 0.4654187262058258 | MSE Test Loss: 0.486015647649765
Epoch: 30 | MSE Train Loss: 0.4374844431877136 | MSE Test Loss: 0.45858266949653625
Epoch: 40 | MSE Train Loss: 0.4218021333217621 | MSE Test Loss: 0.44450461864471436
Epoch: 50 | MSE Train Loss: 0.4131562411785126 | MSE Test Loss: 0.43851998448371887
Epoch: 60 | MSE Train Loss: 0.4070287048816681 | MSE Test Loss: 0.4349154531955719
Epoch: 70 | MSE Train Loss: 0.40236982703208923 | MSE Test Loss: 0.43228042125701904
Epoch: 80 | MSE Train Loss: 0.39872899651527405 | MSE Test Loss: 0.4307384192943573
Epoch: 90 | MSE Train Loss: 0.39682456851005554 | MSE Test Loss: 0.43897783756256104
