
Epoch: 60 | MSE Train Loss: 0.39748772978782654 | MSE Test Loss: 0.4225993752479553
Epoch: 70 | MSE Train Loss: 0.391421377658844 | MSE Test Loss: 0.42100101709365845
Epoch: 80 | MSE Train Loss: 0.3860433101654053 | MSE Test Loss: 0.4201890230178833
Epoch: 90 | MSE Train Loss: 0.38094988465309143 | MSE Test Loss: 0.4199430048465729
Epoch: 100 | MSE Train Loss: 0.375851571559906 | MSE Test Loss: 0.41988033056259155
Epoch: 110 | MSE Train Loss: 0.37059420347213745 | MSE Test Loss: 0.4200576841831207
Epoch: 120 | MSE Train Loss: 0.36574745178222656 | MSE Test Loss: 0.4206085801124573
Epoch: 130 | MSE Train Loss: 0.3602231740951538 | MSE Test Loss: 0.4213831126689911
Epoch: 140 | MSE Train Loss: 0.3548830449581146 | MSE Test Loss: 0.4224424660205841
Epoch: 150 | MSE Train Loss: 0.34998196363449097 | MSE Test Loss: 0.4251004159450531
Epoch: 160 | MSE Train Loss: 0.34576478600502014 | MSE Test Loss: 0.42580142617225647
Epoch: 170 | MSE Train Loss: 0.34153956174850464 | MSE Test Loss: 0.4294354319572449
Epoch: 180 | MSE Train Loss: 0.33705687522888184 | MSE Test Loss: 0.4288603663444519
Epoch: 190 | MSE Train Loss: 0.3323013186454773 | MSE Test Loss: 0.43122148513793945
Epoch: 0 | MSE Train Loss: 1.0234328508377075 | MSE Test Loss: 0.847046971321106
Epoch: 10 | MSE Train Loss: 0.4966568648815155 | MSE Test Loss: 0.4932118058204651
Epoch: 20 | MSE Train Loss: 0.4457385540008545 | MSE Test Loss: 0.4474708139896393
Epoch: 30 | MSE Train Loss: 0.42634302377700806 | MSE Test Loss: 0.43420225381851196
Epoch: 40 | MSE Train Loss: 0.415325790643692 | MSE Test Loss: 0.42833954095840454
Epoch: 50 | MSE Train Loss: 0.4067324101924896 | MSE Test Loss: 0.42404162883758545
Epoch: 60 | MSE Train Loss: 0.39983925223350525 | MSE Test Loss: 0.421772837638855
Epoch: 70 | MSE Train Loss: 0.3938913941383362 | MSE Test Loss: 0.4202996492385864
Epoch: 80 | MSE Train Loss: 0.3884769380092621 | MSE Test Loss: 0.41953733563423157
Epoch: 90 | MSE Train Loss: 0.3831803798675537 | MSE Test Loss: 0.4193912148475647
Epoch: 100 | MSE Train Loss: 0.37783682346343994 | MSE Test Loss: 0.41957345604896545
Epoch: 110 | MSE Train Loss: 0.3725588917732239 | MSE Test Loss: 0.4213081896305084
Epoch: 120 | MSE Train Loss: 0.36769402027130127 | MSE Test Loss: 0.4206189513206482
Epoch: 130 | MSE Train Loss: 0.3630068004131317 | MSE Test Loss: 0.4212387800216675
Epoch: 140 | MSE Train Loss: 0.35801106691360474 | MSE Test Loss: 0.4223492741584778
Epoch: 150 | MSE Train Loss: 0.35245394706726074 | MSE Test Loss: 0.4235398769378662
Epoch: 160 | MSE Train Loss: 0.3481175899505615 | MSE Test Loss: 0.4254230558872223
Epoch: 170 | MSE Train Loss: 0.343107670545578 | MSE Test Loss: 0.4266572892665863
Epoch: 180 | MSE Train Loss: 0.3389175534248352 | MSE Test Loss: 0.4268054664134979
Epoch: 190 | MSE Train Loss: 0.33399251103401184 | MSE Test Loss: 0.42883872985839844
