
Epoch: 0 | MSE Train Loss: 0.9966149926185608 | MSE Test Loss: 19.407960891723633
Epoch: 10 | MSE Train Loss: 0.8594533801078796 | MSE Test Loss: 0.80595862865448
Epoch: 20 | MSE Train Loss: 0.604119062423706 | MSE Test Loss: 0.577045738697052
Epoch: 30 | MSE Train Loss: 0.5111364722251892 | MSE Test Loss: 0.5193897485733032
Epoch: 40 | MSE Train Loss: 0.47660788893699646 | MSE Test Loss: 0.5028338432312012
Epoch: 50 | MSE Train Loss: 0.4581186771392822 | MSE Test Loss: 0.4768981635570526
Epoch: 60 | MSE Train Loss: 0.4422683119773865 | MSE Test Loss: 0.4658220112323761
Epoch: 70 | MSE Train Loss: 0.43396809697151184 | MSE Test Loss: 0.4574854075908661
Epoch: 80 | MSE Train Loss: 0.42831361293792725 | MSE Test Loss: 0.45292872190475464
Epoch: 90 | MSE Train Loss: 0.42418235540390015 | MSE Test Loss: 0.449945867061615
