
Epoch: 0 | MSE Train Loss: 1.0105750560760498 | MSE Test Loss: 19.59071922302246
Epoch: 10 | MSE Train Loss: 0.920779287815094 | MSE Test Loss: 0.8809328079223633
Epoch: 20 | MSE Train Loss: 0.6566965579986572 | MSE Test Loss: 0.6551893353462219
Epoch: 30 | MSE Train Loss: 0.5715224146842957 | MSE Test Loss: 0.5908782482147217
Epoch: 40 | MSE Train Loss: 0.5238494277000427 | MSE Test Loss: 0.5430653095245361
Epoch: 50 | MSE Train Loss: 0.49649670720100403 | MSE Test Loss: 0.5187487602233887
Epoch: 60 | MSE Train Loss: 0.4900544583797455 | MSE Test Loss: 0.5117953419685364
Epoch: 70 | MSE Train Loss: 0.4719162881374359 | MSE Test Loss: 0.49337995052337646
Epoch: 80 | MSE Train Loss: 0.4644399881362915 | MSE Test Loss: 0.4940464496612549
Epoch: 90 | MSE Train Loss: 0.4530427157878876 | MSE Test Loss: 0.4782972037792206
