
Epoch: 0 | MSE Train Loss: 1.0136356353759766 | MSE Test Loss: 1.9583280086517334
Epoch: 10 | MSE Train Loss: 0.5487051606178284 | MSE Test Loss: 0.5720690488815308
Epoch: 20 | MSE Train Loss: 0.4777076542377472 | MSE Test Loss: 0.48395025730133057
Epoch: 30 | MSE Train Loss: 0.4410765767097473 | MSE Test Loss: 0.4620574414730072
Epoch: 40 | MSE Train Loss: 0.42546236515045166 | MSE Test Loss: 0.4485706686973572
Epoch: 50 | MSE Train Loss: 0.4156213104724884 | MSE Test Loss: 0.44032788276672363
Epoch: 60 | MSE Train Loss: 0.4101954996585846 | MSE Test Loss: 0.43627220392227173
Epoch: 70 | MSE Train Loss: 0.40550488233566284 | MSE Test Loss: 0.4335688054561615
Epoch: 80 | MSE Train Loss: 0.4227272868156433 | MSE Test Loss: 0.44515615701675415
Epoch: 90 | MSE Train Loss: 0.4015701711177826 | MSE Test Loss: 0.4337865710258484
