
Epoch: 0 | MSE Train Loss: 1.0142271518707275 | MSE Test Loss: 16.231069564819336
Epoch: 10 | MSE Train Loss: 0.8771243095397949 | MSE Test Loss: 0.8132773041725159
Epoch: 20 | MSE Train Loss: 0.5989877581596375 | MSE Test Loss: 0.6012749671936035
Epoch: 30 | MSE Train Loss: 0.5086017847061157 | MSE Test Loss: 0.5270096063613892
Epoch: 40 | MSE Train Loss: 0.47980996966362 | MSE Test Loss: 0.49953004717826843
Epoch: 50 | MSE Train Loss: 0.45619824528694153 | MSE Test Loss: 0.4781230092048645
Epoch: 60 | MSE Train Loss: 0.444166898727417 | MSE Test Loss: 0.46569308638572693
Epoch: 70 | MSE Train Loss: 0.43514716625213623 | MSE Test Loss: 0.45783495903015137
Epoch: 80 | MSE Train Loss: 0.4277753233909607 | MSE Test Loss: 0.4507017135620117
Epoch: 90 | MSE Train Loss: 0.4216076731681824 | MSE Test Loss: 0.4455379247665405
