
Epoch: 0 | MSE Train Loss: 0.9922407269477844 | MSE Test Loss: 16.850589752197266
Epoch: 10 | MSE Train Loss: 1.062890648841858 | MSE Test Loss: 0.9684505462646484
Epoch: 20 | MSE Train Loss: 0.6070371866226196 | MSE Test Loss: 0.6094064712524414
Epoch: 30 | MSE Train Loss: 0.5106552839279175 | MSE Test Loss: 0.5225632786750793
Epoch: 40 | MSE Train Loss: 0.4687817096710205 | MSE Test Loss: 0.48607155680656433
Epoch: 50 | MSE Train Loss: 0.4470457434654236 | MSE Test Loss: 0.4686766266822815
Epoch: 60 | MSE Train Loss: 0.4331149160861969 | MSE Test Loss: 0.4578408896923065
Epoch: 70 | MSE Train Loss: 0.42448559403419495 | MSE Test Loss: 0.45143240690231323
Epoch: 80 | MSE Train Loss: 0.42370060086250305 | MSE Test Loss: 0.45297423005104065
Epoch: 90 | MSE Train Loss: 0.41690242290496826 | MSE Test Loss: 0.4469597339630127
