
Epoch: 0 | MSE Train Loss: 1.011631727218628 | MSE Test Loss: 1.8466553688049316
Epoch: 10 | MSE Train Loss: 0.5483373403549194 | MSE Test Loss: 0.5551137924194336
Epoch: 20 | MSE Train Loss: 0.47418877482414246 | MSE Test Loss: 0.48679476976394653
Epoch: 30 | MSE Train Loss: 0.4384808838367462 | MSE Test Loss: 0.4582541882991791
Epoch: 40 | MSE Train Loss: 0.4235401749610901 | MSE Test Loss: 0.447931706905365
Epoch: 50 | MSE Train Loss: 0.41472315788269043 | MSE Test Loss: 0.44006526470184326
Epoch: 60 | MSE Train Loss: 0.4097355604171753 | MSE Test Loss: 0.4362413287162781
Epoch: 70 | MSE Train Loss: 0.4058634340763092 | MSE Test Loss: 0.4369163513183594
Epoch: 80 | MSE Train Loss: 0.4037805497646332 | MSE Test Loss: 0.431542307138443
Epoch: 90 | MSE Train Loss: 0.3997529149055481 | MSE Test Loss: 0.43193939328193665
