
Epoch: 0 | MSE Train Loss: 1.0136616230010986 | MSE Test Loss: 1.9074571132659912
Epoch: 10 | MSE Train Loss: 0.5517522096633911 | MSE Test Loss: 0.5583339929580688
Epoch: 20 | MSE Train Loss: 0.46961668133735657 | MSE Test Loss: 0.5005892515182495
Epoch: 30 | MSE Train Loss: 0.44231006503105164 | MSE Test Loss: 0.4655282199382782
Epoch: 40 | MSE Train Loss: 0.4265917241573334 | MSE Test Loss: 0.44965800642967224
Epoch: 50 | MSE Train Loss: 0.4169038236141205 | MSE Test Loss: 0.4415198564529419
Epoch: 60 | MSE Train Loss: 0.4107878804206848 | MSE Test Loss: 0.43670186400413513
Epoch: 70 | MSE Train Loss: 0.4096789062023163 | MSE Test Loss: 0.4373335838317871
Epoch: 80 | MSE Train Loss: 0.40436792373657227 | MSE Test Loss: 0.4340898096561432
Epoch: 90 | MSE Train Loss: 0.4008886516094208 | MSE Test Loss: 0.43236860632896423
